532, 2008-01-03, [5, 6, 12, 21, 24, 33]
533, 2008-01-07, [4, 12, 18, 27, 30, 33]
534, 2008-01-10, [2, 4, 7, 22, 25, 34]
535, 2008-01-14, [6, 8, 10, 24, 25, 32]
536, 2008-01-17, [5, 9, 11, 18, 22, 36]
537, 2008-01-21, [3, 10, 13, 18, 24, 37]
538, 2008-01-24, [7, 12, 17, 23, 32, 39]
539, 2008-01-28, [1, 3, 4, 20, 24, 27]
540, 2008-01-31, [3, 7, 29, 31, 35, 37]
541, 2008-02-04, [6, 14, 30, 31, 41, 42]
542, 2008-02-07, [2, 9, 20, 22, 26, 34]
543, 2008-02-11, [9, 15, 17, 23, 28, 42]
544, 2008-02-15, [2, 8, 18, 19, 23, 35]
545, 2008-02-18, [4, 8, 9, 34, 37, 39]
546, 2008-02-21, [3, 7, 10, 13, 26, 36]
547, 2008-02-25, [2, 7, 10, 18, 20, 34]
548, 2008-02-28, [3, 4, 15, 16, 22, 26]
549, 2008-03-03, [10, 12, 25, 29, 34, 40]
550, 2008-03-06, [19, 22, 27, 28, 29, 35]
551, 2008-03-10, [6, 8, 15, 24, 25, 42]
552, 2008-03-13, [1, 8, 21, 22, 30, 37]
553, 2008-03-17, [3, 6, 10, 13, 20, 26]
554, 2008-03-20, [1, 4, 12, 15, 16, 22]
555, 2008-03-24, [7, 10, 16, 22, 30, 41]
556, 2008-03-27, [1, 3, 30, 34, 36, 37]
557, 2008-03-31, [10, 11, 16, 22, 30, 41]
558, 2008-04-03, [5, 19, 34, 35, 38, 42]
559, 2008-04-07, [3, 4, 14, 21, 26, 42]
560, 2008-04-10, [8, 14, 15, 18, 26, 32]
561, 2008-04-14, [8, 10, 11, 18, 29, 35]
562, 2008-04-17, [6, 9, 20, 25, 38, 39]
563, 2008-04-21, [4, 19, 24, 31, 32, 37]
564, 2008-04-24, [8, 30, 37, 38, 40, 42]
565, 2008-04-28, [11, 14, 21, 30, 31, 35]
566, 2008-05-01, [7, 14, 23, 27, 33, 34]
567, 2008-05-05, [20, 24, 26, 27, 30, 31]
568, 2008-05-09, [12, 13, 17, 20, 23, 25]
569, 2008-05-12, [15, 16, 30, 33, 40, 42]
570, 2008-05-15, [15, 16, 30, 33, 40, 42]
571, 2008-05-19, [2, 10, 21, 22, 27, 41]
572, 2008-05-22, [10, 14, 18, 22, 28, 39]
573, 2008-05-26, [4, 11, 27, 29, 38, 42]
574, 2008-05-29, [5, 17, 26, 27, 31, 41]
575, 2008-06-02, [10, 17, 22, 24, 29, 37]
576, 2008-06-05, [7, 13, 17, 30, 31, 38]
577, 2008-06-09, [2, 14, 18, 19, 24, 39]
578, 2008-06-12, [3, 6, 7, 8, 33, 35]
579, 2008-06-16, [3, 9, 12, 14, 21, 34]
580, 2008-06-19, [3, 6, 8, 16, 21, 31]
581, 2008-06-23, [15, 20, 25, 30, 35, 36]
582, 2008-06-26, [6, 12, 17, 25, 28, 30]
583, 2008-06-30, [5, 8, 11, 20, 35, 40]
584, 2008-07-03, [11, 15, 29, 30, 31, 33]
585, 2008-07-07, [6, 9, 16, 34, 35, 40]
586, 2008-07-10, [3, 21, 28, 34, 36, 39]
587, 2008-07-14, [4, 5, 9, 10, 32, 36]
588, 2008-07-17, [3, 17, 20, 21, 25, 33]
589, 2008-07-21, [6, 9, 12, 19, 21, 40]
590, 2008-07-24, [13, 15, 16, 21, 34, 40]
591, 2008-07-28, [17, 21, 36, 37, 41, 42]
592, 2008-07-31, [1, 9, 13, 21, 34, 36]
593, 2008-08-04, [3, 12, 15, 26, 29, 32]
594, 2008-08-07, [5, 22, 23, 25, 31, 32]
595, 2008-08-11, [8, 9, 26, 31, 40, 41]
596, 2008-08-15, [1, 3, 13, 14, 31, 32]
597, 2008-08-18, [6, 13, 14, 16, 18, 19]
598, 2008-08-21, [2, 4, 14, 20, 38, 42]
599, 2008-08-25, [2, 7, 10, 13, 19, 32]
600, 2008-08-28, [2, 3, 13, 29, 31, 42]
601, 2008-09-01, [8, 10, 19, 21, 26, 42]
602, 2008-09-04, [1, 9, 16, 19, 20, 25]
603, 2008-09-08, [1, 12, 22, 23, 33, 40]
604, 2008-09-11, [17, 22, 28, 36, 37, 39]
605, 2008-09-15, [5, 11, 15, 24, 28, 36]
606, 2008-09-18, [4, 16, 23, 30, 32, 39]
607, 2008-09-22, [14, 17, 20, 24, 29, 42]
608, 2008-09-25, [8, 9, 22, 32, 34, 35]
609, 2008-09-29, [19, 23, 27, 29, 33, 41]
610, 2008-10-02, [2, 3, 4, 13, 30, 32]
611, 2008-10-06, [1, 4, 6, 7, 13, 29]
612, 2008-10-09, [8, 13, 16, 20, 27, 37]
613, 2008-10-13, [5, 10, 12, 23, 40, 42]
614, 2008-10-16, [1, 8, 13, 19, 22, 33]
615, 2008-10-20, [10, 23, 35, 36, 38, 40]
616, 2008-10-23, [8, 13, 21, 29, 35, 40]
617, 2008-10-27, [10, 16, 18, 29, 35, 37]
618, 2008-10-30, [12, 13, 14, 20, 26, 40]
619, 2008-11-03, [10, 15, 21, 24, 26, 37]
620, 2008-11-06, [3, 15, 25, 27, 29, 31]
621, 2008-11-10, [1, 4, 17, 24, 35, 40]
622, 2008-11-13, [19, 20, 21, 22, 31, 35]
623, 2008-11-17, [6, 9, 14, 28, 29, 37]
624, 2008-11-20, [3, 16, 20, 22, 34, 36]
625, 2008-11-24, [9, 16, 22, 30, 32, 40]
626, 2008-11-27, [17, 24, 28, 37, 38, 41]
627, 2008-12-01, [1, 7, 16, 28, 33, 35]
628, 2008-12-04, [4, 7, 15, 21, 26, 38]
629, 2008-12-08, [4, 7, 32, 34, 39, 41]
630, 2008-12-11, [5, 14, 24, 26, 27, 33]
631, 2008-12-15, [5, 8, 13, 23, 30, 42]
632, 2008-12-18, [4, 5, 12, 29, 32, 39]
633, 2008-12-22, [1, 6, 12, 21, 25, 42]
634, 2008-12-26, [24, 25, 26, 28, 29, 35]
635, 2008-12-29, [2, 3, 10, 12, 17, 28]
