1967, 2022-01-03, [19, 21, 22, 32, 35, 37]
1968, 2022-01-06, [10, 18, 27, 34, 39, 41]
1969, 2022-01-10, [4, 5, 11, 19, 27, 38]
1970, 2022-01-13, [1, 7, 8, 9, 15, 30]
1971, 2022-01-17, [2, 5, 6, 20, 35, 39]
1972, 2022-01-20, [1, 22, 27, 28, 29, 42]
1973, 2022-01-24, [2, 3, 9, 17, 19, 38]
1974, 2022-01-27, [12, 17, 25, 26, 31, 32]
1975, 2022-01-31, [8, 10, 34, 35, 38, 42]
1976, 2022-02-03, [3, 5, 7, 11, 24, 27]
1977, 2022-02-07, [3, 12, 16, 17, 23, 40]
1978, 2022-02-10, [3, 5, 18, 24, 29, 39]
1979, 2022-02-14, [6, 16, 23, 29, 37, 38]
1980, 2022-02-17, [1, 3, 14, 24, 30, 36]
1981, 2022-02-21, [4, 9, 16, 37, 39, 40]
1982, 2022-02-24, [2, 3, 18, 23, 24, 26]
1983, 2022-02-28, [9, 17, 21, 25, 28, 37]
1984, 2022-03-03, [3, 14, 19, 22, 26, 34]
1985, 2022-03-07, [3, 5, 26, 30, 35, 41]
1986, 2022-03-10, [3, 5, 9, 11, 28, 29]
1987, 2022-03-14, [9, 15, 19, 26, 30, 33]
1988, 2022-03-17, [8, 17, 28, 30, 35, 38]
1989, 2022-03-21, [14, 27, 29, 32, 34, 40]
1990, 2022-03-24, [2, 17, 25, 30, 33, 34]
1991, 2022-03-28, [8, 12, 18, 19, 33, 40]
1992, 2022-03-31, [10, 17, 18, 21, 28, 35]
1993, 2022-04-04, [4, 10, 14, 22, 28, 30]
1994, 2022-04-07, [3, 9, 14, 29, 33, 42]
1995, 2022-04-11, [2, 3, 8, 13, 36, 38]
1996, 2022-04-14, [6, 8, 14, 22, 23, 36]
1997, 2022-04-19, [12, 16, 22, 30, 31, 34]
1998, 2022-04-21, [1, 3, 17, 24, 27, 38]
1999, 2022-04-26, [7, 14, 22, 26, 30, 35]
2000, 2022-04-28, [8, 10, 11, 21, 34, 38]
