1872, 2021-01-04, [4, 16, 18, 21, 22, 30]
1873, 2021-01-07, [7, 8, 12, 15, 39, 40]
1874, 2021-01-11, [5, 7, 21, 24, 30, 37]
1875, 2021-02-15, [3, 6, 8, 10, 19, 20]
1876, 2021-02-18, [10, 15, 16, 21, 34, 38]
1877, 2021-02-22, [9, 13, 15, 21, 27, 34]
1878, 2021-02-25, [13, 14, 15, 16, 20, 33]
1879, 2021-03-01, [4, 16, 22, 33, 34, 36]
1880, 2021-03-04, [1, 4, 18, 27, 29, 40]
1881, 2021-03-08, [8, 13, 15, 18, 25, 34]
1882, 2021-03-11, [10, 11, 12, 16, 30, 33]
1883, 2021-03-15, [3, 10, 16, 21, 37, 40]
1884, 2021-03-18, [13, 18, 23, 26, 39, 40]
1885, 2021-03-22, [2, 7, 9, 30, 32, 41]
1886, 2021-03-25, [11, 13, 14, 16, 26, 42]
1887, 2021-03-29, [12, 13, 14, 26, 38, 42]
1888, 2021-04-01, [9, 10, 14, 17, 19, 42]
1889, 2021-04-06, [10, 19, 20, 24, 27, 30]
1890, 2021-04-08, [4, 10, 13, 16, 24, 29]
1891, 2021-04-12, [11, 12, 18, 28, 41, 42]
1892, 2021-04-15, [12, 14, 20, 36, 38, 40]
1893, 2021-04-19, [13, 18, 25, 27, 29, 32]
1894, 2021-04-22, [3, 7, 10, 12, 16, 30]
1895, 2021-04-26, [8, 10, 12, 16, 20, 23]
1896, 2021-04-29, [5, 20, 23, 26, 33, 42]
1897, 2021-05-04, [6, 20, 32, 35, 37, 39]
1898, 2021-05-06, [5, 8, 24, 25, 32, 34]
1899, 2021-05-10, [8, 13, 14, 17, 29, 41]
1900, 2021-05-13, [3, 5, 6, 12, 14, 18]
1901, 2021-05-17, [4, 12, 22, 27, 30, 33]
1902, 2021-05-20, [3, 7, 34, 35, 37, 39]
1903, 2021-05-24, [9, 15, 19, 20, 25, 34]
1904, 2021-05-27, [1, 11, 20, 22, 25, 34]
1905, 2021-05-31, [14, 20, 21, 24, 37, 41]
1906, 2021-06-03, [4, 22, 23, 25, 37, 39]
1907, 2021-06-07, [8, 9, 11, 23, 29, 38]
1908, 2021-06-10, [7, 13, 32, 39, 41, 42]
1909, 2021-06-14, [1, 3, 4, 31, 34, 39]
1910, 2021-06-17, [9, 10, 19, 21, 22, 41]
1911, 2021-06-21, [13, 16, 32, 36, 39, 42]
1912, 2021-06-24, [18, 26, 30, 34, 35, 40]
1913, 2021-06-28, [18, 22, 23, 31, 34, 36]
1914, 2021-07-01, [4, 6, 32, 34, 36, 38]
1915, 2021-07-05, [7, 27, 32, 34, 40, 41]
1916, 2021-07-08, [6, 8, 13, 15, 25, 30]
1917, 2021-07-12, [8, 11, 28, 34, 35, 39]
1918, 2021-07-15, [1, 12, 13, 17, 37, 41]
1919, 2021-07-19, [6, 13, 17, 31, 35, 39]
1920, 2021-07-22, [3, 8, 15, 16, 27, 38]
1921, 2021-07-26, [7, 20, 33, 34, 36, 37]
1922, 2021-07-29, [5, 8, 9, 14, 16, 30]
1923, 2021-08-02, [4, 7, 20, 28, 29, 40]
1924, 2021-08-05, [2, 4, 6, 19, 27, 33]
1925, 2021-08-09, [1, 14, 25, 33, 35, 39]
1926, 2021-08-12, [9, 12, 19, 20, 33, 40]
1927, 2021-08-16, [15, 18, 22, 27, 36, 37]
1928, 2021-08-19, [11, 18, 19, 31, 36, 41]
1929, 2021-08-23, [1, 7, 11, 17, 24, 40]
1930, 2021-08-26, [2, 11, 29, 36, 40, 41]
1931, 2021-08-30, [9, 11, 14, 23, 30, 42]
1932, 2021-09-02, [5, 8, 15, 18, 33, 37]
1933, 2021-09-06, [10, 22, 25, 31, 35, 39]
1934, 2021-09-09, [7, 9, 14, 18, 20, 25]
1935, 2021-09-13, [6, 9, 21, 23, 27, 36]
1936, 2021-09-16, [4, 11, 15, 27, 31, 33]
1937, 2021-09-20, [9, 15, 24, 27, 39, 42]
1938, 2021-09-23, [9, 10, 12, 29, 34, 39]
1939, 2021-09-27, [3, 13, 19, 23, 25, 30]
1940, 2021-09-30, [17, 24, 33, 35, 38, 41]
1941, 2021-10-04, [8, 14, 19, 22, 27, 38]
1942, 2021-10-07, [7, 10, 18, 31, 32, 37]
1943, 2021-10-11, [5, 11, 13, 16, 22, 36]
1944, 2021-10-14, [3, 7, 11, 12, 21, 33]
1945, 2021-10-18, [4, 10, 15, 33, 36, 37]
1946, 2021-10-21, [3, 6, 15, 19, 23, 29]
1947, 2021-10-25, [1, 10, 18, 28, 37, 38]
1948, 2021-10-28, [9, 12, 13, 25, 30, 39]
1949, 2021-11-01, [10, 19, 20, 29, 32, 42]
1950, 2021-11-04, [2, 9, 22, 23, 29, 37]
1951, 2021-11-08, [3, 14, 21, 23, 32, 37]
1952, 2021-11-11, [13, 19, 20, 29, 34, 41]
1953, 2021-11-15, [5, 10, 16, 20, 30, 36]
1954, 2021-11-18, [11, 18, 20, 27, 34, 40]
1955, 2021-11-22, [2, 6, 11, 25, 32, 36]
1956, 2021-11-25, [2, 12, 14, 28, 34, 36]
1957, 2021-11-29, [3, 15, 23, 33, 35, 36]
1958, 2021-12-02, [2, 4, 6, 10, 11, 24]
1959, 2021-12-06, [14, 16, 24, 26, 27, 36]
1960, 2021-12-09, [1, 13, 16, 25, 32, 38]
1961, 2021-12-13, [22, 23, 33, 37, 39, 42]
1962, 2021-12-16, [7, 15, 20, 28, 30, 31]
1963, 2021-12-20, [8, 14, 22, 28, 32, 37]
1964, 2021-12-23, [4, 12, 17, 18, 21, 23]
1965, 2021-12-27, [7, 18, 19, 20, 33, 35]
1966, 2021-12-30, [1, 8, 12, 15, 24, 29]
