1575, 2018-01-02, [14, 26, 29, 30, 36, 40]
1576, 2018-01-04, [4, 7, 15, 25, 28, 29]
1577, 2018-01-08, [17, 19, 35, 37, 38, 42]
1578, 2018-01-11, [2, 4, 18, 23, 28, 39]
1579, 2018-01-15, [4, 12, 20, 21, 22, 42]
1580, 2018-01-18, [2, 7, 23, 29, 36, 42]
1581, 2018-01-22, [4, 9, 12, 20, 24, 28]
1582, 2018-01-25, [3, 9, 21, 26, 33, 36]
1583, 2018-01-29, [10, 21, 26, 30, 33, 35]
1584, 2018-02-01, [20, 27, 28, 30, 34, 38]
1585, 2018-02-05, [9, 12, 20, 24, 28, 31]
1586, 2018-02-08, [17, 23, 24, 29, 36, 40]
1587, 2018-02-12, [10, 22, 31, 32, 38, 41]
1588, 2018-02-15, [5, 10, 19, 24, 33, 34]
1589, 2018-02-19, [1, 9, 10, 19, 32, 41]
1590, 2018-02-22, [7, 21, 22, 29, 36, 37]
1591, 2018-02-26, [1, 9, 18, 27, 40, 42]
1592, 2018-03-01, [15, 18, 22, 30, 33, 37]
1593, 2018-03-05, [6, 8, 13, 15, 26, 42]
1594, 2018-03-08, [1, 9, 12, 13, 16, 31]
1595, 2018-03-12, [16, 20, 26, 35, 39, 42]
1596, 2018-03-15, [3, 9, 16, 26, 35, 38]
1597, 2018-03-19, [1, 3, 11, 14, 35, 39]
1598, 2018-03-22, [17, 18, 19, 35, 38, 42]
1599, 2018-03-26, [2, 15, 16, 20, 33, 42]
1600, 2018-03-29, [2, 4, 5, 22, 28, 37]
1601, 2018-04-03, [6, 14, 16, 19, 35, 39]
1602, 2018-04-05, [5, 19, 28, 32, 35, 42]
1603, 2018-04-10, [1, 7, 20, 21, 35, 39]
1604, 2018-04-12, [7, 16, 24, 27, 29, 34]
1605, 2018-04-16, [9, 17, 25, 34, 37, 39]
1606, 2018-04-19, [4, 18, 23, 27, 31, 36]
1607, 2018-04-23, [2, 4, 6, 9, 15, 29]
1608, 2018-04-26, [2, 9, 13, 16, 18, 25]
1609, 2018-04-30, [2, 10, 14, 24, 35, 40]
1610, 2018-05-03, [3, 22, 23, 24, 33, 34]
1611, 2018-05-08, [4, 10, 18, 19, 25, 34]
1612, 2018-05-10, [6, 8, 13, 18, 20, 26]
1613, 2018-05-14, [8, 15, 24, 28, 39, 41]
1614, 2018-05-17, [8, 13, 20, 23, 28, 34]
1615, 2018-05-21, [6, 19, 20, 24, 29, 31]
1616, 2018-05-24, [3, 4, 7, 13, 22, 40]
1617, 2018-05-28, [2, 7, 13, 31, 36, 42]
1618, 2018-05-31, [2, 4, 6, 8, 26, 28]
1619, 2018-06-04, [2, 5, 11, 32, 40, 42]
1620, 2018-06-07, [8, 10, 18, 23, 24, 40]
1621, 2018-06-11, [2, 12, 13, 28, 37, 42]
1622, 2018-06-14, [2, 8, 17, 28, 32, 37]
1623, 2018-06-18, [16, 20, 22, 27, 33, 40]
1624, 2018-06-21, [4, 10, 23, 33, 34, 37]
1625, 2018-06-25, [12, 16, 21, 22, 29, 35]
1626, 2018-06-28, [10, 22, 23, 33, 35, 39]
1627, 2018-07-02, [4, 16, 17, 22, 30, 33]
1628, 2018-07-05, [2, 4, 5, 9, 12, 29]
1629, 2018-07-09, [8, 13, 27, 28, 30, 34]
1630, 2018-07-12, [3, 25, 36, 38, 39, 40]
1631, 2018-07-16, [4, 5, 15, 16, 21, 33]
1632, 2018-07-19, [13, 24, 30, 32, 40, 42]
1633, 2018-07-23, [7, 9, 11, 14, 36, 40]
1634, 2018-07-26, [11, 19, 20, 22, 33, 34]
1635, 2018-07-30, [21, 27, 29, 36, 38, 39]
1636, 2018-08-02, [5, 17, 25, 37, 38, 42]
1637, 2018-08-06, [11, 14, 17, 19, 20, 42]
1638, 2018-08-09, [8, 13, 18, 21, 33, 39]
1639, 2018-08-13, [8, 12, 24, 34, 39, 40]
1640, 2018-08-16, [1, 4, 5, 21, 32, 34]
1641, 2018-08-20, [2, 12, 17, 27, 28, 36]
1642, 2018-08-23, [4, 5, 14, 25, 26, 40]
1643, 2018-08-27, [8, 16, 19, 28, 33, 40]
1644, 2018-08-30, [6, 12, 15, 25, 33, 37]
1645, 2018-09-03, [7, 8, 19, 27, 28, 36]
