2071, 2023-01-02, [4, 9, 10, 13, 20, 31]
2072, 2023-01-05, [8, 23, 25, 30, 32, 42]
2073, 2023-01-09, [5, 11, 12, 14, 28, 41]
2074, 2023-01-12, [1, 32, 34, 38, 39, 40]
2075, 2023-01-16, [1, 2, 8, 13, 21, 28]
2076, 2023-01-19, [2, 4, 18, 20, 22, 35]
2077, 2023-01-23, [14, 25, 27, 28, 35, 41]
2078, 2023-01-26, [1, 5, 11, 21, 22, 42]
2079, 2023-01-30, [5, 17, 19, 22, 26, 33]
2080, 2023-02-02, [5, 9, 14, 25, 30, 35]
2081, 2023-02-06, [18, 23, 24, 25, 38, 42]
2082, 2023-02-09, [5, 7, 11, 15, 20, 30]
2083, 2023-02-13, [1, 3, 11, 13, 24, 32]
2084, 2023-02-16, [4, 16, 28, 32, 39, 40]
2085, 2023-02-20, [9, 13, 15, 16, 30, 31]
2086, 2023-02-23, [10, 18, 19, 22, 25, 32]
2087, 2023-02-27, [2, 7, 8, 18, 27, 37]
2088, 2023-03-02, [2, 9, 12, 21, 24, 38]
2089, 2023-03-06, [9, 11, 24, 28, 30, 31]
2090, 2023-03-09, [6, 7, 11, 21, 22, 24]
2091, 2023-03-13, [8, 19, 24, 30, 35, 42]
2092, 2023-03-16, [1, 18, 21, 25, 33, 40]
2093, 2023-03-20, [2, 6, 9, 12, 14, 28]
2094, 2023-03-23, [1, 3, 9, 18, 19, 21]
2095, 2023-03-27, [2, 9, 11, 14, 25, 26]
2096, 2023-03-30, [1, 5, 20, 22, 28, 31]
2097, 2023-04-03, [4, 8, 10, 26, 28, 33]
2098, 2023-04-06, [2, 5, 16, 19, 22, 32]
2099, 2023-04-11, [2, 6, 17, 27, 40, 41]
2100, 2023-04-13, [7, 15, 21, 24, 34, 42]
2101, 2023-04-18, [3, 10, 18, 20, 35, 40]
2102, 2023-04-20, [5, 8, 11, 22, 25, 38]
2103, 2023-04-24, [1, 4, 11, 17, 26, 39]
2104, 2023-04-27, [3, 18, 25, 27, 35, 36]
2105, 2023-05-01, [3, 8, 15, 22, 27, 38]
2106, 2023-05-04, [15, 19, 23, 26, 30, 34]
2107, 2023-05-08, [1, 2, 13, 19, 27, 42]
2108, 2023-05-11, [5, 17, 18, 25, 28, 40]
2109, 2023-05-15, [5, 7, 12, 29, 33, 39]
2110, 2023-05-18, [6, 16, 19, 22, 24, 37]
2111, 2023-05-22, [4, 8, 24, 26, 37, 38]
2112, 2023-05-25, [5, 7, 9, 13, 19, 22]
2113, 2023-05-29, [2, 8, 12, 16, 18, 31]
2114, 2023-06-01, [9, 15, 21, 22, 24, 41]
2115, 2023-06-05, [1, 2, 3, 17, 21, 42]
2116, 2023-06-08, [3, 8, 19, 27, 29, 34]
2117, 2023-06-12, [1, 11, 26, 27, 32, 37]
2118, 2023-06-15, [2, 8, 16, 26, 30, 33]
2119, 2023-06-19, [3, 6, 11, 14, 19, 30]
2120, 2023-06-22, [1, 2, 3, 14, 23, 38]
2121, 2023-06-26, [7, 10, 11, 17, 29, 33]
2122, 2023-06-29, [1, 3, 16, 29, 34, 38]
2123, 2023-07-03, [1, 3, 14, 16, 26, 31]
2124, 2023-07-06, [5, 11, 15, 16, 19, 39]
2125, 2023-07-10, [4, 15, 23, 27, 29, 37]
2126, 2023-07-13, [12, 15, 25, 26, 31, 35]
2127, 2023-07-17, [3, 11, 23, 27, 29, 39]
2128, 2023-07-20, [11, 14, 22, 24, 35, 39]
2129, 2023-07-24, [11, 18, 25, 27, 36, 39]
2130, 2023-07-27, [11, 16, 23, 24, 29, 40]
2131, 2023-07-31, [3, 14, 17, 32, 39, 40]
2132, 2023-08-03, [4, 9, 12, 23, 26, 34]
2133, 2023-08-07, [3, 5, 17, 19, 25, 34]
2134, 2023-08-10, [5, 11, 16, 23, 30, 33]
2135, 2023-08-14, [2, 9, 11, 18, 37, 42]
2136, 2023-08-17, [1, 2, 4, 11, 15, 35]
2137, 2023-08-21, [1, 9, 21, 22, 29, 37]
2138, 2023-08-24, [2, 5, 9, 12, 18, 30]
2139, 2023-08-28, [11, 14, 16, 23, 34, 39]
2140, 2023-08-31, [3, 15, 27, 31, 39, 42]
2141, 2023-09-04, [3, 6, 21, 31, 34, 39]
2142, 2023-09-07, [13, 19, 26, 32, 37, 42]
2143, 2023-09-11, [17, 28, 34, 35, 41, 42]
2144, 2023-09-14, [6, 9, 16, 17, 19, 29]
2145, 2023-09-18, [9, 16, 18, 27, 34, 40]
2146, 2023-09-21, [2, 13, 14, 16, 17, 29]
2147, 2023-09-25, [10, 11, 24, 28, 38, 40]
2148, 2023-09-28, [3, 4, 14, 15, 21, 39]
2149, 2023-10-02, [2, 5, 8, 15, 17, 25]
2150, 2023-10-05, [10, 16, 17, 22, 37, 42]
2151, 2023-10-09, [2, 3, 14, 16, 17, 35]
2152, 2023-10-12, [2, 10, 25, 31, 36, 41]
2153, 2023-10-16, [5, 13, 14, 15, 23, 41]
2154, 2023-10-19, [8, 25, 26, 30, 34, 42]
2155, 2023-10-23, [14, 23, 32, 33, 36, 41]
2156, 2023-10-26, [6, 12, 26, 31, 34, 35]
2157, 2023-10-30, [12, 20, 22, 23, 24, 35]
2158, 2023-11-02, [5, 15, 16, 28, 34, 35]
2159, 2023-11-06, [4, 6, 13, 14, 35, 38]
2160, 2023-11-09, [13, 16, 17, 32, 40, 41]
2161, 2023-11-13, [5, 7, 11, 20, 38, 42]
2162, 2023-11-16, [6, 12, 19, 24, 26, 41]
2163, 2023-11-20, [2, 13, 17, 19, 34, 36]
2164, 2023-11-23, [9, 10, 22, 26, 33, 34]
2165, 2023-11-27, [3, 25, 26, 28, 34, 40]
2166, 2023-11-30, [2, 6, 7, 8, 10, 37]
2167, 2023-12-04, [2, 14, 17, 19, 29, 36]
2168, 2023-12-07, [5, 18, 23, 24, 26, 28]
2169, 2023-12-11, [16, 17, 37, 38, 40, 42]
2170, 2023-12-14, [10, 18, 26, 29, 40, 42]
2171, 2023-12-18, [11, 20, 21, 22, 30, 39]
2172, 2023-12-21, [11, 17, 20, 23, 24, 35]
2173, 2023-12-26, [8, 35, 36, 38, 39, 40]
2174, 2023-12-28, [5, 22, 30, 32, 38, 42]
