1781, 2020-01-02, [3, 5, 6, 19, 35, 38]
1782, 2020-01-06, [1, 21, 29, 30, 32, 39]
1783, 2020-01-09, [3, 8, 11, 18, 22, 31]
1784, 2020-01-13, [1, 14, 15, 18, 28, 35]
1785, 2020-01-16, [2, 11, 20, 22, 26, 28]
1786, 2020-01-20, [1, 11, 17, 24, 30, 32]
1787, 2020-01-23, [5, 8, 19, 22, 36, 39]
1788, 2020-01-27, [2, 12, 22, 28, 32, 41]
1789, 2020-01-30, [1, 10, 11, 14, 21, 34]
1790, 2020-02-03, [5, 28, 32, 33, 34, 40]
1791, 2020-02-06, [3, 7, 11, 12, 35, 39]
1792, 2020-02-10, [2, 10, 11, 24, 39, 40]
1793, 2020-02-13, [2, 6, 7, 15, 40, 42]
1794, 2020-02-17, [18, 20, 23, 26, 27, 41]
1795, 2020-02-20, [4, 15, 27, 32, 33, 41]
1796, 2020-02-24, [14, 23, 28, 32, 34, 41]
1797, 2020-02-27, [4, 21, 25, 29, 32, 38]
1798, 2020-03-02, [12, 21, 25, 27, 31, 37]
1799, 2020-03-05, [2, 5, 8, 16, 22, 29]
1800, 2020-03-09, [2, 9, 14, 36, 37, 41]
1801, 2020-03-12, [6, 25, 26, 32, 40, 42]
1802, 2020-04-27, [2, 5, 8, 12, 20, 38]
1803, 2020-04-30, [4, 5, 8, 11, 35, 37]
1804, 2020-05-04, [2, 4, 8, 20, 26, 33]
1805, 2020-05-07, [17, 20, 23, 29, 31, 37]
1806, 2020-05-11, [4, 5, 9, 13, 25, 34]
1807, 2020-05-18, [10, 11, 12, 15, 23, 25]
1808, 2020-05-21, [4, 18, 27, 29, 30, 37]
1809, 2020-05-25, [5, 7, 10, 14, 21, 25]
1810, 2020-05-28, [13, 24, 25, 33, 35, 36]
1811, 2020-06-01, [1, 13, 23, 24, 27, 28]
1812, 2020-06-04, [9, 12, 16, 28, 31, 36]
1813, 2020-06-08, [2, 3, 4, 14, 15, 31]
1814, 2020-06-11, [4, 21, 25, 30, 34, 38]
1815, 2020-06-15, [5, 8, 9, 31, 32, 38]
1816, 2020-06-18, [11, 17, 21, 24, 25, 34]
1817, 2020-06-22, [6, 7, 16, 31, 34, 41]
1818, 2020-06-25, [3, 4, 13, 18, 41, 42]
1819, 2020-06-29, [2, 3, 9, 12, 19, 30]
1820, 2020-07-02, [8, 10, 14, 24, 25, 34]
1821, 2020-07-06, [6, 13, 21, 25, 28, 31]
1822, 2020-07-09, [2, 24, 27, 30, 39, 41]
1823, 2020-07-13, [13, 15, 20, 29, 30, 41]
1824, 2020-07-16, [3, 27, 31, 34, 38, 40]
1825, 2020-07-20, [4, 8, 19, 27, 38, 39]
1826, 2020-07-23, [5, 6, 24, 25, 28, 35]
1827, 2020-07-27, [14, 15, 22, 31, 38, 40]
1828, 2020-07-30, [1, 5, 12, 26, 31, 32]
1829, 2020-08-03, [1, 4, 6, 7, 14, 35]
1830, 2020-08-10, [3, 7, 23, 26, 31, 38]
1831, 2020-08-13, [2, 15, 17, 19, 25, 28]
1832, 2020-08-17, [16, 20, 24, 28, 31, 37]
1833, 2020-08-20, [11, 14, 15, 27, 30, 38]
1834, 2020-08-24, [16, 17, 21, 25, 26, 39]
1835, 2020-08-27, [20, 22, 24, 28, 33, 39]
1836, 2020-08-31, [2, 21, 24, 28, 31, 40]
1837, 2020-09-03, [4, 20, 27, 36, 41, 42]
1838, 2020-09-07, [8, 11, 23, 25, 26, 32]
1839, 2020-09-10, [1, 3, 20, 23, 30, 39]
1840, 2020-09-14, [13, 14, 18, 29, 30, 42]
1841, 2020-09-17, [1, 10, 15, 25, 31, 42]
1842, 2020-09-21, [5, 12, 16, 17, 25, 29]
1843, 2020-09-24, [1, 2, 5, 12, 29, 38]
1844, 2020-09-28, [2, 3, 4, 26, 34, 36]
1845, 2020-10-01, [6, 16, 22, 29, 38, 42]
1846, 2020-10-05, [4, 14, 16, 24, 30, 33]
1847, 2020-10-08, [1, 3, 14, 26, 27, 34]
1848, 2020-10-12, [15, 30, 32, 35, 37, 39]
1849, 2020-10-15, [1, 11, 15, 19, 25, 38]
1850, 2020-10-19, [11, 22, 24, 27, 40, 41]
1851, 2020-10-22, [5, 16, 27, 29, 32, 39]
1852, 2020-10-26, [3, 17, 22, 29, 34, 42]
1853, 2020-10-29, [9, 11, 28, 37, 38, 42]
1854, 2020-11-02, [3, 8, 11, 12, 33, 41]
1855, 2020-11-05, [3, 9, 20, 27, 35, 42]
1856, 2020-11-09, [3, 12, 19, 20, 22, 41]
1857, 2020-11-12, [1, 5, 12, 13, 31, 42]
1858, 2020-11-16, [7, 10, 11, 28, 31, 40]
1859, 2020-11-19, [8, 13, 15, 21, 25, 34]
1860, 2020-11-23, [4, 7, 8, 10, 29, 35]
1861, 2020-11-26, [22, 24, 28, 29, 39, 41]
1862, 2020-11-30, [3, 9, 22, 28, 35, 39]
1863, 2020-12-03, [6, 11, 13, 22, 26, 42]
1864, 2020-12-07, [2, 5, 11, 13, 37, 41]
1865, 2020-12-10, [4, 11, 15, 16, 18, 36]
1866, 2020-12-14, [17, 24, 27, 28, 36, 39]
1867, 2020-12-17, [8, 9, 12, 16, 22, 31]
1868, 2020-12-21, [7, 9, 21, 23, 38, 40]
1869, 2020-12-24, [5, 6, 21, 32, 35, 38]
1870, 2020-12-28, [5, 13, 18, 30, 35, 38]
1871, 2020-12-31, [5, 18, 28, 30, 36, 40]
