2175, 2024-01-02, [6,10,25,29,37,38]
2176, 2024-01-04, [1,6,8,12,29,32]
2177, 2024-01-08, [7,14,18,22,30,31]
2178, 2024-01-11, [1,7,21,23,30,32]
2179, 2024-01-15, [8,17,33,37,38,42]
2180, 2024-01-18, [1,10,14,19,20,40]
2181, 2024-01-22, [1,10,15,30,34,38]
2182, 2024-01-25, [4,15,22,23,34,40]
2183, 2024-01-29, [3,12,18,20,31,37]
2184, 2024-02-01, [4,12,14,25,29,33]
2185, 2024-02-05, [4,15,18,24,31,36]
2186, 2024-02-08, [7,19,24,29,38,41]
2187, 2024-02-12, [8,15,17,24,26,35]
2188, 2024-02-15, [12,17,19,26,40,42]
2189, 2024-02-19, [13,16,27,33,34,36]
2190, 2024-02-22, [1,13,15,21,24,26]
2191, 2024-02-26, [6,19,24,28,35,41]
2192, 2024-02-29, [9,11,15,19,32,34]
2193, 2024-03-04, [1,14,16,17,18,19]
2194, 2024-03-07, [1,4,5,18,23,38]
2195, 2024-03-11, [7,21,22,36,37,42]
2196, 2024-03-14, [5,10,12,20,32,37]
2197, 2024-03-18, [11,13,18,25,27,34]
2198, 2024-03-21, [17,21,23,26,35,38]
2199, 2024-03-25, [5,6,16,19,25,28]
2200, 2024-03-28, [6,11,20,32,36,39]
2201, 2024-04-02, [3,4,8,12,17,22]
2202, 2024-04-04, [5,20,25,31,34,41]
2203, 2024-04-08, [13,23,25,26,41,42]
2204, 2024-04-11, [11,20,21,30,32,41]
2205, 2024-04-15, [5,10,17,25,29,40]
2206, 2024-04-18, [1,2,8,18,23,24]
2207, 2024-04-22, [11,18,20,25,27,37]
2208, 2024-04-25, [4,8,12,17,18,33]
2209, 2024-04-29, [4,8,18,20,22,26]
2210, 2024-05-02, [1,3,14,15,20,22]
2211, 2024-05-07, [7,13,15,24,28,39]
2212, 2024-05-09, [1,2,12,14,17,31]
2213, 2024-05-13, [15,22,32,33,35,37]
2214, 2024-05-16, [9,10,16,20,28,30]
2215, 2024-05-20, [26,28,29,35,36,41]
2216, 2024-05-23, [4,12,28,33,35,42]
2217, 2024-05-27, [14,18,19,35,39,42]
2218, 2024-05-30, [7,9,10,33,39,41]
2219, 2024-06-03, [2,4,21,22,26,30]
2220, 2024-06-06, [9,13,20,21,24,36]
2221, 2024-06-10, [4,12,19,21,27,28]
2222, 2024-06-13, [7,8,27,30,36,42]
2223, 2024-06-17, [11,12,18,21,30,39]
2224, 2024-06-20, [2,6,20,33,36,41]
2225, 2024-06-24, [3,5,6,10,18,23]
2226, 2024-06-27, [12,17,21,23,30,42]
2227, 2024-07-01, [8,22,29,31,37,39]
2228, 2024-07-04, [14,23,30,34,35,36]
2229, 2024-07-08, [7,11,28,34,35,36]
2230, 2024-07-11, [5,6,16,18,41,42]
2231, 2024-07-15, [2,6,28,29,30,32]
2232, 2024-07-18, [10,14,21,32,33,39]
2233, 2024-07-22, [2,25,30,38,39,42]
2234, 2024-07-25, [3,6,17,20,25,40]
2235, 2024-07-29, [2,5,19,31,36,42]
2236, 2024-08-01, [16,23,24,34,38,41]
2237, 2024-08-05, [11,12,15,28,31,36]
2238, 2024-08-08, [2,8,15,31,32,38]
2239, 2024-08-12, [16,19,31,39,41,42]
2240, 2024-08-15, [1,18,20,24,36,37]
2241, 2024-08-19, [21,32,34,36,39,41]
